time_boot_ms,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
197817.009,391847809,-768259005,123.98999786376953,123.98999786376953,
197856.993,391847809,-768259005,123.98999786376953,123.98999786376953,
197897.425,391847809,-768259005,123.98999786376953,123.98999786376953,
197937.617,391847809,-768259005,123.98999786376953,123.98999786376953,
197977.421,391847813,-768259010,124.18000030517578,124.18000030517578,
198016.924,391847813,-768259010,124.18000030517578,124.18000030517578,
198056.961,391847813,-768259010,124.18000030517578,124.18000030517578,
198097.4,391847813,-768259010,124.18000030517578,124.18000030517578,
198137.521,391847813,-768259010,124.18000030517578,124.18000030517578,
198177.388,391847804,-768259020,124.20999908447266,124.20999908447266,
198216.991,391847804,-768259020,124.20999908447266,124.20999908447266,
198257.025,391847804,-768259020,124.20999908447266,124.20999908447266,
198297.451,391847804,-768259020,124.20999908447266,124.20999908447266,
198337.581,391847804,-768259020,124.20999908447266,124.20999908447266,
198377.501,391847795,-768259029,124.14999389648438,124.14999389648438,
198416.946,391847795,-768259029,124.14999389648438,124.14999389648438,
198456.899,391847795,-768259029,124.14999389648438,124.14999389648438,
198497.438,391847795,-768259029,124.14999389648438,124.14999389648438,
198537.653,391847795,-768259029,124.14999389648438,124.14999389648438,
198577.415,391847788,-768259034,124.1199951171875,124.1199951171875,
198616.918,391847788,-768259034,124.1199951171875,124.1199951171875,
198656.932,391847788,-768259034,124.1199951171875,124.1199951171875,
198697.4,391847788,-768259034,124.1199951171875,124.1199951171875,
198737.485,391847788,-768259034,124.1199951171875,124.1199951171875,
198777.471,391847786,-768259034,124.12999725341797,124.12999725341797,
198816.984,391847786,-768259034,124.12999725341797,124.12999725341797,
198856.946,391847786,-768259034,124.12999725341797,124.12999725341797,
198897.336,391847786,-768259034,124.12999725341797,124.12999725341797,
198937.426,391847786,-768259034,124.12999725341797,124.12999725341797,
198977.397,391847777,-768259044,124.05999755859375,124.05999755859375,
199017.005,391847777,-768259044,124.05999755859375,124.05999755859375,
199057.018,391847777,-768259044,124.05999755859375,124.05999755859375,
199097.375,391847777,-768259044,124.05999755859375,124.05999755859375,
199137.527,391847777,-768259044,124.05999755859375,124.05999755859375,
199177.376,391847766,-768259056,124,124,
199217.03,391847766,-768259056,124,124,
199257.026,391847766,-768259056,124,124,
199297.47,391847766,-768259056,124,124,
199337.452,391847766,-768259056,124,124,
199377.402,391847755,-768259068,123.89999389648438,123.89999389648438,
199416.994,391847755,-768259068,123.89999389648438,123.89999389648438,
199456.998,391847755,-768259068,123.89999389648438,123.89999389648438,
199497.484,391847755,-768259068,123.89999389648438,123.89999389648438,
199537.562,391847755,-768259068,123.89999389648438,123.89999389648438,
199577.39,391847745,-768259076,123.83999633789062,123.83999633789062,
199616.897,391847745,-768259076,123.83999633789062,123.83999633789062,
199656.936,391847745,-768259076,123.83999633789062,123.83999633789062,
199697.387,391847745,-768259076,123.83999633789062,123.83999633789062,
199737.602,391847745,-768259076,123.83999633789062,123.83999633789062,
199777.486,391847751,-768259071,123.86000061035156,123.86000061035156,
199816.906,391847751,-768259071,123.86000061035156,123.86000061035156,
199856.98,391847751,-768259071,123.86000061035156,123.86000061035156,
199897.619,391847751,-768259071,123.86000061035156,123.86000061035156,
199937.508,391847751,-768259071,123.86000061035156,123.86000061035156,
199977.446,391847758,-768259065,123.87999725341797,123.87999725341797,
200016.905,391847758,-768259065,123.87999725341797,123.87999725341797,
200056.901,391847758,-768259065,123.87999725341797,123.87999725341797,
200097.387,391847758,-768259065,123.87999725341797,123.87999725341797,
200137.568,391847758,-768259065,123.87999725341797,123.87999725341797,
200177.476,391847760,-768259065,123.8699951171875,123.8699951171875,
200216.95,391847760,-768259065,123.8699951171875,123.8699951171875,
200256.986,391847760,-768259065,123.8699951171875,123.8699951171875,
200297.404,391847760,-768259065,123.8699951171875,123.8699951171875,
200337.642,391847760,-768259065,123.8699951171875,123.8699951171875,
200377.465,391847756,-768259068,123.86000061035156,123.86000061035156,
200416.967,391847756,-768259068,123.86000061035156,123.86000061035156,
200456.918,391847756,-768259068,123.86000061035156,123.86000061035156,
200497.477,391847756,-768259068,123.86000061035156,123.86000061035156,
200537.426,391847756,-768259068,123.86000061035156,123.86000061035156,
200577.442,391847754,-768259070,123.8499984741211,123.8499984741211,
200617.007,391847754,-768259070,123.8499984741211,123.8499984741211,
200656.986,391847754,-768259070,123.8499984741211,123.8499984741211,
200697.408,391847754,-768259070,123.8499984741211,123.8499984741211,
200737.532,391847754,-768259070,123.8499984741211,123.8499984741211,
200777.493,391847756,-768259068,123.86000061035156,123.86000061035156,
200816.967,391847756,-768259068,123.86000061035156,123.86000061035156,
200857.065,391847756,-768259068,123.86000061035156,123.86000061035156,
200897.425,391847756,-768259068,123.86000061035156,123.86000061035156,
200937.586,391847756,-768259068,123.86000061035156,123.86000061035156,
200977.313,391847760,-768259068,123.89999389648438,123.89999389648438,
201016.909,391847760,-768259068,123.89999389648438,123.89999389648438,
201056.956,391847760,-768259068,123.89999389648438,123.89999389648438,
201097.514,391847760,-768259068,123.89999389648438,123.89999389648438,
201137.498,391847760,-768259068,123.89999389648438,123.89999389648438,
201177.37,391847767,-768259062,123.93000030517578,123.93000030517578,
201216.981,391847767,-768259062,123.93000030517578,123.93000030517578,
201257.022,391847767,-768259062,123.93000030517578,123.93000030517578,
201297.454,391847767,-768259062,123.93000030517578,123.93000030517578,
201337.506,391847767,-768259062,123.93000030517578,123.93000030517578,
201377.467,391847773,-768259050,124.0199966430664,124.0199966430664,
201416.856,391847773,-768259050,124.0199966430664,124.0199966430664,
