time_boot_ms,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
74656.972,-0.61,-0.44,0.2,0.3799999952316284,0,0,0.9999763369560242,-0.005389609839767218,-0.00388573226518929,0.0017851816955953836
74697,-0.61,-0.44,0.2,0.3799999952316284,0,0,0.999976396560669,-0.005376864690333605,-0.003887004917487502,0.0017740637995302677
74737.44,-0.61,-0.44,0.2,0.1599999964237213,0,0,0.9999763369560242,-0.005378300324082375,-0.0038870912976562977,0.0017811808502301574
74776.924,-0.61,-0.44,0.2,0.1599999964237213,0,0,0.9999762177467346,-0.005391622893512249,-0.0038939183577895164,0.0017915623029693961
74817.759,-0.61,-0.44,0.2,0.1599999964237213,0,0,0.9999762177467346,-0.0053938147611916065,-0.0038957337383180857,0.0017952646594494581
74857.36,-0.61,-0.44,0.2,0.12999999523162842,0,0,0.9999762773513794,-0.005385266616940498,-0.0038942734245210886,0.0017931036418303847
74896.918,-0.61,-0.44,0.21,0.12999999523162842,0,0,0.9999762177467346,-0.005392665509134531,-0.003895062254741788,0.0017997523536905646
74937.25,-0.62,-0.44,0.21,0.2199999988079071,0,0,0.9999760985374451,-0.0054069929756224155,-0.003897065296769142,0.0018071308732032776
74976.954,-0.62,-0.44,0.21,0.2199999988079071,0,0,0.9999760985374451,-0.005407318938523531,-0.003899896051734686,0.0018017655238509178
75017.621,-0.61,-0.44,0.21,0.2199999988079071,0,0,0.9999762177467346,-0.005390849895775318,-0.0038953085895627737,0.0017995253438130021
75057.121,-0.61,-0.44,0.21,0.08999999612569809,0,0,0.9999762177467346,-0.005387567449361086,-0.003894948400557041,0.001805666252039373
75096.967,-0.61,-0.44,0.21,0.08999999612569809,0,0,0.9999761581420898,-0.005399981513619423,-0.003896846668794751,0.001804075320251286
75137.211,-0.61,-0.44,0.21,0.2199999988079071,0,0,0.9999761581420898,-0.00539370346814394,-0.0038971295580267906,0.0018073146929964423
75176.943,-0.61,-0.44,0.21,0.2199999988079071,0,0,0.9999763369560242,-0.00537913478910923,-0.0038953733164817095,0.0018040576251223683
75218.06,-0.61,-0.44,0.21,0.2199999988079071,0,0,0.9999762177467346,-0.005386320874094963,-0.0038920415099710226,0.0018045245669782162
75257.158,-0.61,-0.44,0.21,0.20999999344348907,0,0,0.9999761581420898,-0.005396450869739056,-0.0038958052173256874,0.0017987072933465242
75296.867,-0.61,-0.44,0.21,0.20999999344348907,0,0,0.9999762773513794,-0.005381735507398844,-0.0038971498142927885,0.0018093704711645842
75337.194,-0.61,-0.44,0.21,0.08999999612569809,0,0,0.9999762773513794,-0.005371487699449062,-0.003896418958902359,0.001805093721486628
75377.001,-0.61,-0.44,0.21,0.08999999612569809,0,0,0.9999761581420898,-0.005385914817452431,-0.0038993079215288162,0.00180484214797616
75417.635,-0.61,-0.44,0.21,0.08999999612569809,0,0,0.9999761581420898,-0.005395702552050352,-0.0039024055004119873,0.0018109874799847603
75457.179,-0.61,-0.44,0.21,0.14000000059604645,0,0,0.9999762773513794,-0.0053838458843529224,-0.0039050946943461895,0.0018110487144440413
75496.88,-0.61,-0.44,0.21,0.14000000059604645,0,0,0.9999762773513794,-0.005376212764531374,-0.0038979179225862026,0.001800862024538219
75537.261,-0.61,-0.44,0.21,-0.019999999552965164,0,0,0.9999762177467346,-0.005388770252466202,-0.0039012846536934376,0.0018057177076116204
75577.28,-0.61,-0.44,0.21,-0.019999999552965164,0,0,0.9999762177467346,-0.005392702762037516,-0.0039026944432407618,0.001813781913369894
75617.51,-0.61,-0.44,0.21,-0.019999999552965164,0,0,0.9999762773513794,-0.005379536654800177,-0.003904020180925727,0.0018113241530954838
