time_boot_ms,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
6135.644,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6176.295,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6216.229,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6256.246,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6296.245,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6336.284,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6376.296,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6416.281,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6456.218,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6496.251,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6536.253,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6576.293,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6616.278,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6656.252,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6696.221,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6736.28,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6776.274,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6816.296,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6856.29,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6896.253,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6936.26,0,0,0,0,0,0,0,0,0,128,0,0,0,0
6976.241,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7016.307,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7056.295,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7096.273,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7136.223,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7176.257,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7216.259,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7256.272,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7296.292,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7336.27,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7376.219,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7416.26,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7456.218,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7496.274,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7536.317,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7576.282,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7616.226,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7656.253,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7696.28,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7736.272,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7776.294,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7816.235,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7856.243,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7896.248,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7936.279,0,0,0,0,0,0,0,0,0,128,0,0,0,0
7976.291,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8016.279,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8056.211,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8096.246,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8136.251,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8176.276,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8216.254,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8256.271,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8296.22,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8336.275,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8376.278,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8416.268,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8456.287,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8496.257,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8536.231,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8576.256,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8616.274,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8656.266,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8696.303,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8736.227,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8776.247,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8816.278,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8856.27,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8896.315,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8936.295,0,0,0,0,0,0,0,0,0,128,0,0,0,0
8976.221,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9016.254,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9056.239,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9096.292,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9136.285,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9176.267,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9216.216,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9256.244,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9296.28,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9336.283,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9376.302,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9416.262,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9456.259,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9496.257,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9536.28,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9576.299,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9616.283,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9656.228,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9696.252,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9736.251,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9776.275,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9816.314,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9856.269,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9896.221,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9936.251,0,0,0,0,0,0,0,0,0,128,0,0,0,0
9976.24,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10016.298,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10056.279,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10096.245,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10136.226,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10176.244,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10216.274,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10256.274,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10296.314,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10336.254,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10376.242,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10416.247,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10456.281,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10496.27,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10536.278,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10576.221,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10616.251,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10656.289,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10696.283,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10736.271,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10776.271,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10816.225,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10856.265,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10896.224,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10936.302,0,0,0,0,0,0,0,0,0,128,0,0,0,0
10976.282,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11016.266,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11056.217,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11096.249,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11136.28,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11176.296,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11216.289,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11256.242,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11296.256,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11336.244,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11376.325,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11416.295,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11456.281,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11496.232,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11536.254,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11576.25,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11616.277,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11656.309,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11696.256,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11736.226,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11776.254,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11816.286,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11856.297,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11896.306,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11936.283,0,0,0,0,0,0,0,0,0,128,0,0,0,0
11976.233,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12016.252,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12056.283,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12096.3,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12136.29,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12176.234,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12216.26,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12256.245,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12296.275,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12336.296,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12376.28,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12416.23,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12456.247,0,0,0,0,0,0,0,0,0,128,0,0,0,0
12496.252,0,0,0,0,0,0,0,0,0,128,0,0,0,0
