time_boot_ms,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
5155.851,0,-0.62,0,-0.36,0,0,1,1,0
5158.278,0,-0.62,0,-0.36,0,0,1,1,0
5160.9,0,-0.62,0,-0.36,0,0,1,1,0
5163.207,0,-0.62,0,-0.36,0,0,1,1,0
5165.854,0,-0.62,0,-0.36,0,0,1,1,0
5168.25,0,-0.62,0,-0.36,0,0,1,1,0
5170.837,0,-0.62,0,-0.36,0,0,1,1,0
5173.287,0,-0.62,0,-0.36,0,0,1,1,0
5175.866,0,-0.62,0,-0.36,0,0,1,1,0
5178.254,0,-0.62,0,-0.36,0,0,1,1,0
5180.79,0,-0.62,0,-0.36,0,0,1,1,0
5183.375,0,-0.62,0,-0.36,0,0,1,1,0
5185.744,0,-0.62,0,-0.36,0,0,1,1,0
5188.334,0,-0.62,0,-0.36,0,0,1,1,0
5190.739,0,-0.62,0,-0.35,0,0,1,1,0
5193.304,0,-0.62,0,-0.35,0,0,1,1,0
5195.777,0,-0.62,0,-0.35,0,0,1,1,0
5198.346,0,-0.62,0,-0.35,0,0,1,1,0
5200.803,0,-0.62,0,-0.35,0,0,1,1,0
5203.283,0,-0.62,0,-0.35,0,0,1,1,0
5205.808,0,-0.62,0,-0.35,0,0,1,1,0
5208.232,0,-0.62,0,-0.35,0,0,1,1,0
5210.843,0,-0.62,0,-0.35,0,0,1,1,0
5213.227,0,-0.62,0,-0.35,0,0,1,1,0
5215.834,0,-0.62,0,-0.35,0,0,1,1,0
5218.23,0,-0.62,0,-0.35,0,0,1,1,0
5220.855,0,-0.62,0,-0.35,0,0,1,1,0
5223.292,0,-0.62,0,-0.35,0,0,1,1,0
5225.799,0,-0.62,0,-0.35,0,0,1,1,0
5228.353,0,-0.62,0,-0.35,0,0,1,1,0
5230.791,0,-0.62,0,-0.35,0,0,1,1,0
5233.353,0,-0.62,0,-0.35,0,0,1,1,0
5236.063,0,-0.62,0,-0.35,0,0,1,1,0
5238.331,0,-0.62,0,-0.35,0,0,1,1,0
5240.763,0,-0.62,0,-0.35,0,0,1,1,0
5243.34,0,-0.62,0,-0.35,0,0,1,1,0
5245.801,0,-0.62,0,-0.35,0,0,1,1,0
5248.295,0,-0.62,0,-0.35,0,0,1,1,0
5250.765,0,-0.62,0,-0.35,0,0,1,1,0
5253.251,0,-0.62,0,-0.35,0,0,1,1,0
5255.81,0,-0.62,0,-0.35,0,0,1,1,0
5258.277,0,-0.62,0,-0.35,0,0,1,1,0
5260.843,0,-0.62,0,-0.35,0,0,1,1,0
5263.238,0,-0.62,0,-0.35,0,0,1,1,0
5265.86,0,-0.62,0,-0.35,0,0,1,1,0
5268.263,0,-0.62,0,-0.35,0,0,1,1,0
5270.811,0,-0.62,0,-0.35,0,0,1,1,0
5273.311,0,-0.62,0,-0.35,0,0,1,1,0
5275.814,0,-0.62,0,-0.35,0,0,1,1,0
5278.343,0,-0.62,0,-0.35,0,0,1,1,0
5280.817,0,-0.62,0,-0.35,0,0,1,1,0
5283.338,0,-0.62,0,-0.35,0,0,1,1,0
